sessionIndex,rep,H.period+t+i,UD.period.t+t.i+t.i,H.t+i+e,UD.t.i+i.e+i.e,H.i+e+five,UD.i.e+e.five+e.five,H.e+five+Shift.r,UD.e.five+five.Shift.r+five.Shift.r,H.five+Shift.r+o,UD.five.Shift.r+Shift.r.o+Shift.r.o,H.Shift.r+o+a,UD.Shift.r.o+o.a+o.a,H.o+a+n,UD.o.a+a.n+a.n,H.a+n+l,UD.a.n+n.l+n.l,H.n+l+Return
1,22,0.2566,0.2716,0.22409999999999997,0.8498,0.2397,1.2547,0.2741,1.3095999999999999,0.29259999999999997,0.6637,0.33030000000000004,0.2079,0.30360000000000004,0.1746,0.30310000000000004,0.3005,0.25930000000000003
1,23,0.2861,0.2087,0.2444,0.9221,0.23620000000000002,1.3053,0.259,1.4275,0.2556,0.7317,0.3031,0.28859999999999997,0.2632,0.2962,0.3062,0.51,0.2601
1,24,0.28040000000000004,0.22699999999999998,0.235,0.9327,0.22440000000000002,1.369,0.2716,1.4549999999999998,0.27580000000000005,0.8761,0.33420000000000005,0.3588,0.29810000000000003,0.3812,0.2965,0.40449999999999997,0.2479
1,25,0.2471,0.2375,0.2128,0.7477,0.2279,1.3098,0.2931,1.4314999999999998,0.2591,1.1547,0.3256,0.5512,0.3216,0.7533,0.3931,0.6542,0.32680000000000003
1,26,0.2455,0.22010000000000002,0.2384,1.2216,0.22840000000000002,1.7692,0.2885,1.9682,0.2814,1.0049,0.2922,0.7977000000000001,0.2703,0.7501,0.3075,0.7705,0.3326
1,27,0.2872,0.2046,0.2508,0.6717000000000001,0.2489,1.0453999999999999,0.28400000000000003,1.0723,0.2587,0.7385999999999999,0.3308,0.3538,0.30500000000000005,0.8749,0.35140000000000005,0.8838999999999999,0.2582
1,28,0.23790000000000003,0.2082,0.22200000000000003,0.702,0.2297,1.3531,0.25789999999999996,1.3900000000000001,0.24630000000000002,0.8627999999999999,0.2829,0.2126,0.2803,0.2546,0.3226,0.503,0.2915
1,29,0.2484,0.2359,0.2323,0.9360999999999999,0.2363,1.4502000000000002,0.2788,1.6225,0.2994,0.9098,0.38039999999999996,0.3411,0.3384,0.2474,0.3457,0.509,0.2771
1,30,0.2828,0.1372,0.24820000000000003,0.6909,0.2416,1.0372,0.287,1.1340000000000001,0.2894,0.5900000000000001,0.35140000000000005,0.2089,0.3139,0.3374,0.3474,0.4826,0.3054
1,31,0.27690000000000003,0.38609999999999994,0.25020000000000003,0.9904000000000001,0.2246,1.2269,0.23729999999999998,1.3549,0.2555,0.6738999999999999,0.3297,0.32839999999999997,0.3112,0.2123,0.3207,0.3327,0.23700000000000002
1,32,0.27640000000000003,0.18,0.23,1.1408,0.2511,1.5683999999999998,0.2955,1.6182999999999998,0.32499999999999996,0.6204000000000001,0.3627,0.1773,0.3262,0.21999999999999997,0.3064,0.5837,0.2454
1,33,0.28350000000000003,0.2658,0.23470000000000002,0.792,0.2336,1.1736,0.2664,1.224,0.2925,0.6305999999999999,0.3321,0.24960000000000002,0.2922,0.267,0.2793,0.40559999999999996,0.2244
1,34,0.2545,0.2475,0.2257,0.6949,0.22699999999999998,1.3779,0.2199,1.8514999999999997,0.24970000000000003,1.3151,0.3225,0.7583,0.3716,0.43320000000000003,0.374,0.5961,0.28059999999999996
1,35,0.2873,0.2259,0.2553,0.9490000000000001,0.2452,1.2195,0.2777,1.2443,0.2851,0.4483,0.3305,0.2037,0.3043,0.2934,0.31279999999999997,0.4357,0.26239999999999997
1,36,0.2846,0.20289999999999997,0.2316,0.8462999999999999,0.20620000000000002,1.6111,0.239,1.6871,0.24719999999999998,0.9913,0.2905,0.2279,0.2585,0.2429,0.2962,0.6375,0.2582
1,37,0.2729,0.6782,0.2235,0.8716999999999999,0.2093,1.3623,0.25129999999999997,1.3789000000000002,0.2666,0.7739,0.31220000000000003,0.35009999999999997,0.30010000000000003,0.4081,0.3234,0.45990000000000003,0.30870000000000003
1,38,0.2975,0.1932,0.25529999999999997,1.1293000000000002,0.2371,1.4273000000000002,0.2567,1.5645000000000002,0.257,0.6024,0.32010000000000005,0.29550000000000004,0.2781,0.2472,0.2989,0.4132,0.25160000000000005
1,39,0.28090000000000004,0.2076,0.2437,0.7462,0.2352,1.008,0.2638,0.9941000000000001,0.2622,0.4071,0.3039,0.1633,0.2933,0.3039,0.3107,0.4737,0.269
1,40,0.28159999999999996,0.2412,0.2455,0.9726999999999999,0.2413,1.415,0.2717,1.4672999999999998,0.2759,0.7293,0.34340000000000004,0.268,0.2996,0.3524,0.2975,0.5114000000000001,0.2379
1,41,0.24780000000000002,0.26780000000000004,0.2383,0.8019000000000001,0.2444,1.1087,0.3002,1.1114,0.3094,0.4413,0.35509999999999997,0.10819999999999999,0.3091,0.19579999999999997,0.31279999999999997,0.3943,0.2552
1,42,0.2464,0.25070000000000003,0.2411,1.16,0.245,1.4395,0.2955,1.3893,0.2891,0.4506,0.3403,0.1258,0.30400000000000005,0.22449999999999998,0.3146,0.3721,0.26189999999999997
1,43,0.2764,0.2177,0.2571,0.655,0.259,0.9545999999999999,0.29359999999999997,0.9724999999999999,0.2865,0.45759999999999995,0.34719999999999995,0.1747,0.3353,0.2955,0.3553,0.481,0.3141
1,44,0.2774,0.21130000000000002,0.24469999999999997,1.0748,0.23359999999999997,1.3688,0.29969999999999997,1.9457,0.2862,1.2668,0.3269,1.0847,0.29569999999999996,0.6345000000000001,0.32839999999999997,0.6285000000000001,0.28059999999999996
1,45,0.2993,0.4026,0.2753,0.9943,0.2772,1.3105,0.2983,1.3619999999999999,0.3035,0.6325000000000001,0.3452,0.315,0.31620000000000004,0.3287,0.33099999999999996,0.657,0.2671
1,46,0.2822,0.1992,0.2539,0.8236,0.2518,1.1812,0.278,1.3332,0.29100000000000004,0.6712,0.3406,0.2973,0.297,0.2532,0.2964,0.3889,0.2666
1,47,0.3291,0.1771,0.2653,1.3184,0.2706,1.8816000000000002,0.2934,2.0067,0.305,0.9344000000000001,0.3437,0.40080000000000005,0.3117,0.4103,0.3035,0.49269999999999997,0.246
1,48,0.2666,0.5708,0.2574,0.7352000000000001,0.24150000000000002,1.0232,0.268,1.0881,0.2909,0.5499,0.3165,0.2947,0.2787,0.2764,0.2816,0.42510000000000003,0.256
1,49,0.26480000000000004,0.2689,0.2519,0.8271,0.27349999999999997,1.1261,0.311,1.1672,0.3144,0.4878,0.34919999999999995,0.1719,0.3019,0.20909999999999998,0.29350000000000004,0.3453,0.251
1,50,0.28800000000000003,0.32539999999999997,0.26580000000000004,1.4385,0.2616,2.0088,0.3004,2.0530999999999997,0.2994,0.8714999999999999,0.364,0.18069999999999997,0.3226,0.19890000000000002,0.31970000000000004,0.3779,0.2696
2,1,0.3432,0.44229999999999997,0.2928,1.4709,0.2867,2.3135000000000003,0.2859,2.4088,0.3192,1.0985,0.3775,0.23299999999999998,0.3529,0.1606,0.364,0.2855,0.3181
2,2,0.24969999999999998,0.1939,0.22249999999999998,0.6143,0.2333,1.3031000000000001,0.2581,1.4037,0.28400000000000003,0.8644000000000001,0.3083,0.18249999999999997,0.28400000000000003,0.1318,0.2742,0.25860000000000005,0.246
2,3,0.2662,0.1974,0.23870000000000002,0.9234,0.2178,1.5219,0.2758,1.6531,0.2874,0.8668,0.30879999999999996,0.2644,0.2439,0.191,0.24900000000000003,0.2842,0.2313
2,4,0.24369999999999997,0.2003,0.21830000000000002,0.6199999999999999,0.21140000000000003,1.3678,0.2647,1.4590999999999998,0.3167,0.9676,0.3666,0.18050000000000002,0.3144,0.1506,0.2833,0.2718,0.2389
2,5,0.25770000000000004,0.19390000000000002,0.21710000000000002,0.6286,0.21600000000000003,0.9530000000000001,0.2424,0.9868,0.2479,0.48579999999999995,0.2714,0.13,0.25239999999999996,0.09989999999999999,0.2764,0.2066,0.2516
2,6,0.24160000000000004,0.2449,0.2202,1.0308000000000002,0.2096,1.3596000000000001,0.25129999999999997,1.2356,0.26949999999999996,0.4654,0.3057,0.09910000000000001,0.2682,0.1339,0.2767,0.2897,0.2545
2,7,0.2394,0.19130000000000003,0.2254,0.6756,0.24209999999999998,1.0103,0.2637,1.0092,0.2783,0.48549999999999993,0.2767,0.12150000000000001,0.2416,0.2228,0.2371,0.4316,0.2252
2,8,0.255,0.21610000000000001,0.2376,0.8331,0.231,1.4048,0.2714,1.3533,0.278,0.7418000000000001,0.3015,0.09859999999999998,0.2611,0.1664,0.28700000000000003,0.26539999999999997,0.2659
2,9,0.25529999999999997,0.17450000000000002,0.22099999999999997,0.7611,0.2244,1.0268,0.2677,1.0551,0.2753,0.48950000000000005,0.29359999999999997,0.21589999999999998,0.2627,0.2778,0.2786,0.3963,0.2508
2,10,0.2402,0.2225,0.2117,0.5753,0.20779999999999998,1.162,0.2625,1.1755000000000002,0.2572,1.1139000000000001,0.2983,0.6753,0.31479999999999997,0.7623000000000001,0.3365,0.5924,0.2766
2,11,0.2679,0.3842,0.22100000000000003,1.0241,0.22790000000000002,1.1609,0.2551,1.163,0.2619,0.49610000000000004,0.2943,0.24930000000000002,0.28190000000000004,0.3103,0.2912,0.4238,0.263
2,12,0.2626,0.2253,0.22649999999999998,0.6656,0.2041,1.0325,0.2369,1.132,0.20759999999999998,0.8529,0.2833,0.4644,0.25079999999999997,0.4466,0.28959999999999997,0.36350000000000005,0.2318
2,13,0.2821,0.2821,0.24539999999999998,0.924,0.2304,1.238,0.24359999999999998,1.2963000000000002,0.2544,0.6683,0.3114,0.3604,0.284,0.3332,0.27669999999999995,0.34119999999999995,0.2128
2,14,0.24500000000000002,0.28669999999999995,0.2197,1.5386,0.22860000000000003,1.8378999999999999,0.2754,1.8373,0.2846,0.6013999999999999,0.2955,0.2913,0.2506,0.2786,0.24930000000000002,0.3742,0.2405
2,15,0.2529,0.258,0.23870000000000002,0.7647,0.24080000000000001,1.0939,0.2992,1.1823,0.3047,0.6711,0.3435,0.2863,0.3002,0.2111,0.2812,0.2412,0.2258
2,16,0.2537,0.1874,0.2318,0.8321000000000001,0.2273,1.1676,0.2658,1.2172,0.2835,0.5988,0.3157,0.2285,0.27959999999999996,0.2393,0.2635,0.2752,0.244
2,17,0.2648,0.1694,0.2421,0.6753,0.2479,1.0456,0.305,1.2475,0.3198,0.8325,0.3517,0.4219,0.2922,0.282,0.2856,0.2757,0.24259999999999998
2,18,0.2555,0.1775,0.251,0.8867,0.23859999999999998,1.4127,0.27990000000000004,1.6067000000000002,0.2892,1.0993000000000002,0.3404,0.558,0.30920000000000003,0.4355,0.28909999999999997,0.3324,0.24920000000000003
2,19,0.2464,0.2555,0.2384,0.9479,0.2431,1.2852000000000001,0.2769,1.4212999999999998,0.2854,0.7032,0.3155,0.37229999999999996,0.2701,0.2625,0.2733,0.40290000000000004,0.2627
2,20,0.26580000000000004,0.18130000000000002,0.2405,0.8496,0.22259999999999996,1.1373,0.26890000000000003,1.2997999999999998,0.2839,0.6023999999999999,0.3527,0.2844,0.2975,0.1638,0.2965,0.24830000000000002,0.23029999999999998
2,21,0.24319999999999997,0.2383,0.22100000000000003,0.7310000000000001,0.2268,0.992,0.27190000000000003,1.0379,0.2656,0.5229,0.3099,0.2374,0.2621,0.21710000000000002,0.26680000000000004,0.26990000000000003,0.2275
2,22,0.2712,0.1711,0.2356,0.5408000000000001,0.2469,0.8514,0.27170000000000005,0.8777,0.27959999999999996,0.4733,0.3044,0.16140000000000002,0.26499999999999996,0.1709,0.2629,0.23850000000000002,0.23650000000000002
2,23,0.269,0.36019999999999996,0.2423,0.9287000000000001,0.23009999999999997,1.1535,0.2663,1.0989,0.2787,0.45059999999999995,0.3012,0.15480000000000002,0.2669,0.16160000000000002,0.2738,0.2398,0.2537
2,24,0.2593,0.2085,0.24629999999999996,0.6417999999999999,0.21939999999999998,0.8616999999999999,0.26639999999999997,0.9073,0.2873,0.4496,0.3266,0.17279999999999998,0.27849999999999997,0.1725,0.2695,0.22610000000000002,0.242
2,25,0.26580000000000004,0.1555,0.24469999999999997,0.5664,0.24100000000000002,0.8296,0.2685,0.8638999999999999,0.2746,0.4481,0.29279999999999995,0.1461,0.26080000000000003,0.1656,0.2542,0.2485,0.24100000000000002
2,26,0.2573,0.2277,0.2473,0.6043000000000001,0.23729999999999998,0.8659,0.2691,0.8695999999999999,0.2746,0.44329999999999997,0.2947,0.1485,0.26639999999999997,0.172,0.2709,1.2933,0.2975
2,27,0.25739999999999996,0.22669999999999998,0.2192,0.7885,0.22399999999999998,1.0298,0.2662,1.0602,0.28459999999999996,0.46609999999999996,0.30879999999999996,0.17469999999999997,0.2758,0.1741,0.2901,0.2802,0.2627
2,28,0.2904,0.1565,0.2495,0.6453,0.2334,0.9169,0.273,0.9127000000000001,0.2904,0.3874,0.317,0.11,0.27180000000000004,0.1686,0.26230000000000003,0.29000000000000004,0.2518
2,29,0.27849999999999997,0.2259,0.2547,0.6741,0.23760000000000003,0.9788999999999999,0.27949999999999997,0.9348000000000001,0.2906,0.47619999999999996,0.3244,0.1421,0.2704,0.21200000000000002,0.2672,0.267,0.245
2,30,0.2445,0.181,0.2344,0.536,0.2574,0.8337,0.2733,0.9057999999999999,0.2773,0.5441,0.2889,0.196,0.2658,0.1592,0.2724,0.2158,0.2642
2,31,0.2938,0.1483,0.2563,0.522,0.2634,0.7754000000000001,0.2949,0.7694000000000001,0.3026,0.4177,0.3087,0.09119999999999999,0.27559999999999996,0.1368,0.2687,0.22499999999999998,0.2418
2,32,0.2751,0.2183,0.2513,0.8506,0.2283,1.1533,0.27,1.1686,0.2819,0.505,0.31620000000000004,0.1791,0.2637,0.1951,0.2637,0.2334,0.2484
2,33,0.2621,0.1982,0.24919999999999998,0.5727,0.2455,0.9346,0.2693,1.0356,0.2603,0.6295999999999999,0.2922,0.2351,0.2605,0.191,0.27290000000000003,0.2969,0.2389
2,34,0.2624,0.17409999999999998,0.24659999999999999,0.5998,0.2571,0.8927999999999999,0.302,0.9402999999999999,0.3091,0.5095,0.3258,0.1717,0.2777,0.1669,0.269,0.2385,0.2468
2,35,0.2711,0.16260000000000002,0.2589,0.7683,0.2434,1.0346,0.2773,1.0001,0.2694,0.413,0.30889999999999995,0.09,0.274,0.1609,0.2882,0.2726,0.26789999999999997
2,36,0.2669,0.23270000000000002,0.2619,0.8820000000000001,0.28459999999999996,1.1618,0.32889999999999997,1.3246,0.32789999999999997,0.7008,0.3385,0.3539,0.2956,0.1987,0.3095,0.2624,0.2704
2,37,0.26580000000000004,0.1612,0.25229999999999997,0.8429,0.22749999999999998,1.1169,0.27240000000000003,1.18,0.2888,0.5716,0.3482,0.26890000000000003,0.2986,0.2673,0.27299999999999996,0.2652,0.24580000000000002
2,38,0.2521,0.1747,0.2469,0.616,0.26380000000000003,0.8583,0.3097,0.9399,0.3025,0.4734,0.3548,0.1679,0.2984,0.1478,0.3058,0.2904,0.25429999999999997
2,39,0.25670000000000004,0.18530000000000002,0.23320000000000002,0.5445,0.2197,0.861,0.2519,0.8702,0.2519,0.514,0.2986,0.1822,0.2701,0.2165,0.2793,0.2683,0.254
2,40,0.2702,0.1747,0.25070000000000003,0.45499999999999996,0.251,0.74,0.2907,0.7350000000000001,0.2873,0.44220000000000004,0.3039,0.12079999999999999,0.2539,0.1783,0.2491,0.2559,0.22060000000000002
2,41,0.2558,0.263,0.22970000000000002,0.5397,0.23279999999999998,0.752,0.2828,0.7530999999999999,0.28669999999999995,0.4194,0.30179999999999996,0.1188,0.2595,0.156,0.263,0.24730000000000002,0.2379
2,42,0.2998,0.3802,0.2813,0.7745,0.276,1.1387,0.28509999999999996,1.1203,0.2521,0.5262,0.2788,0.1512,0.246,0.1678,0.2732,0.27470000000000006,0.24359999999999998
2,43,0.2651,0.1643,0.2561,0.466,0.2579,1.2701,0.2887,1.3820000000000001,0.27370000000000005,1.0897,0.3094,0.2085,0.2581,0.165,0.2642,0.24609999999999999,0.2275
2,44,0.24889999999999998,0.1308,0.2415,0.4713,0.24209999999999998,0.7181,0.2807,0.7459,0.2696,0.4072,0.30860000000000004,0.1045,0.2642,0.1524,0.26680000000000004,0.2522,0.2312
2,45,0.2489,0.20049999999999998,0.23629999999999998,0.4938,0.2347,0.7944,0.2799,0.8110999999999999,0.27540000000000003,0.5742,0.3049,0.2393,0.2563,0.2833,0.256,0.27680000000000005,0.22599999999999998
2,46,0.2783,0.17659999999999998,0.25870000000000004,0.5284,0.255,0.8044,0.2901,1.0414,0.29069999999999996,0.7003,0.3192,0.40080000000000005,0.2778,0.2203,0.2714,0.2763,0.2289
2,47,0.261,0.18369999999999997,0.2499,0.641,0.2536,0.8816999999999999,0.3057,0.8542000000000001,0.2841,0.4337,0.3185,0.145,0.2669,0.2194,0.2666,0.2778,0.2388
2,48,0.269,0.2077,0.24920000000000003,0.5276000000000001,0.24919999999999998,0.8185,0.2801,0.851,0.2816,0.5302,0.2845,0.21059999999999998,0.2504,0.2417,0.2343,0.446,0.247
2,49,0.2917,0.3042,0.2566,0.5992999999999999,0.24820000000000003,0.7894,0.29359999999999997,0.8699,0.29200000000000004,0.4866,0.3216,0.22880000000000003,0.268,0.1873,0.2656,0.2623,0.2331
2,50,0.2722,0.153,0.2608,0.5043,0.2589,0.7421,0.2924,0.8812,0.2954,0.5377000000000001,0.3371,0.2205,0.2909,0.1614,0.2755,0.2359,0.2251
3,1,0.2935,0.7313999999999999,0.25920000000000004,1.0785,0.24420000000000003,1.2847,0.2535,1.3546999999999998,0.2429,0.6571,0.2864,0.2919,0.2679,0.2578,0.2909,0.3096,0.24980000000000002
3,2,0.2497,0.1779,0.21489999999999998,0.8049,0.22119999999999998,1.1327,0.2671,1.2158,0.2739,0.5633,0.3014,0.1952,0.26289999999999997,0.14350000000000002,0.2693,0.246,0.235
3,3,0.2339,0.21789999999999998,0.19590000000000002,0.7505,0.2035,1.0089,0.2447,1.0373999999999999,0.2756,0.43960000000000005,0.3237,0.1517,0.2917,0.1812,0.2616,0.46090000000000003,0.2349
3,4,0.23759999999999998,0.1443,0.2001,0.45499999999999996,0.20379999999999998,0.748,0.2254,0.7945,0.2297,0.4589,0.2495,0.1543,0.226,0.1585,0.2323,0.2549,0.1967
3,5,0.2468,0.232,0.20929999999999999,0.5398000000000001,0.20379999999999998,0.728,0.2495,0.8066,0.2699,0.4446,0.315,0.2089,0.2888,0.1857,0.2753,0.2634,0.22760000000000002
3,6,0.2732,0.1768,0.2252,0.5365,0.22600000000000003,0.7662,0.2609,0.8002999999999999,0.26030000000000003,0.42779999999999996,0.278,0.17040000000000002,0.2529,0.2094,0.2516,0.2643,0.22779999999999997
3,7,0.2415,0.1935,0.2267,0.4476,0.21249999999999997,2.0666,0.2567,2.1508,0.257,1.8960000000000001,0.3132,0.20070000000000002,0.28859999999999997,0.1489,0.2954,0.19519999999999998,0.2458
3,8,0.2389,0.1752,0.2251,0.5365,0.2299,0.7867999999999999,0.2571,0.8589,0.2571,0.4709,0.27399999999999997,0.1739,0.23070000000000002,0.148,0.2328,0.2187,0.1969
3,9,0.2532,0.1493,0.2329,0.6012,0.23870000000000002,0.8203,0.2712,0.9181999999999999,0.27649999999999997,0.49369999999999997,0.3224,0.15670000000000003,0.3133,0.1036,0.3315,0.2205,0.2925
3,10,0.2052,0.6214,0.21549999999999997,0.47709999999999997,0.2226,0.6245,0.2537,0.6718,0.26320000000000005,0.3563,0.27590000000000003,0.1031,0.258,0.097,0.2699,0.195,0.2464
3,11,0.259,0.2133,0.23759999999999998,0.4923,0.2173,0.6992,0.2532,0.6928,0.2619,0.3852,0.2875,0.11010000000000002,0.24139999999999998,0.1402,0.2401,0.1925,0.2118
3,12,0.2337,0.2072,0.21649999999999997,0.4017,0.22649999999999998,0.6466000000000001,0.27590000000000003,0.6956,0.2902,0.49360000000000004,0.30900000000000005,0.1595,0.276,0.155,0.2746,0.2089,0.2355
3,13,0.2511,0.6327999999999999,0.23160000000000003,0.6577000000000001,0.21280000000000002,0.7773,0.2547,0.9106000000000001,0.30670000000000003,0.6421,0.3563,0.356,0.3289,0.2718,0.2822,0.2892,0.2387
3,14,0.26189999999999997,0.2921,0.2461,0.7824,0.2485,0.9924999999999999,0.2656,0.9663999999999999,0.2611,0.5046999999999999,0.2923,0.1988,0.2736,0.1708,0.27699999999999997,0.2313,0.22729999999999997
3,15,0.30269999999999997,0.1702,0.2278,0.5033,0.21990000000000004,0.7021,0.2358,0.7161,0.23550000000000001,0.42200000000000004,0.264,0.10579999999999999,0.2531,0.1506,0.2676,0.3108,0.2689
3,16,0.2645,0.1893,0.2507,0.7025999999999999,0.2721,0.8640999999999999,0.2841,0.9298,0.26280000000000003,0.44279999999999997,0.2573,0.1709,0.2512,0.15739999999999998,0.2654,0.2329,0.21300000000000002
3,17,0.2788,0.21350000000000002,0.24419999999999997,0.6471,0.244,0.8481000000000001,0.2582,0.9069,0.2395,0.5761,0.2762,0.3659,0.2696,0.33499999999999996,0.2896,0.2918,0.2452
3,18,0.2514,0.1259,0.2445,0.5905,0.2416,0.8455,0.2893,0.8316999999999999,0.2906,0.4528,0.3049,0.0988,0.2812,0.18009999999999998,0.2746,0.4557,0.29510000000000003
3,19,0.2951,0.1623,0.2516,0.4492,0.253,0.6999,0.2873,0.6967,0.2983,0.3971,0.3178,0.09519999999999999,0.2877,0.1907,0.2793,0.27680000000000005,0.2532
3,20,0.24920000000000003,0.1532,0.2413,0.4763,0.25339999999999996,0.8434999999999999,0.29810000000000003,1.0095,0.3058,0.898,0.353,0.48550000000000004,0.3191,0.3881,0.32039999999999996,0.2979,0.2769
3,21,0.2534,1.1240999999999999,0.24659999999999999,1.6833,0.24519999999999997,1.8365,0.281,0.9486,0.2654,0.3857999999999999,0.29400000000000004,0.0896,0.267,0.1283,0.28200000000000003,0.2097,0.2695
3,22,0.23359999999999997,0.4885,0.2407,0.8363,0.25020000000000003,1.0208,0.27849999999999997,0.7511000000000001,0.2526,0.4211,0.26959999999999995,0.1294,0.2453,0.1444,0.25429999999999997,0.20829999999999999,0.24659999999999999
3,23,0.24519999999999997,0.2241,0.237,0.8275999999999999,0.24919999999999998,1.1153,0.2823,1.1151,0.2728,0.5117,0.29259999999999997,0.12519999999999998,0.2609,0.1652,0.2633,0.2735,0.21949999999999997
3,24,0.2619,0.7766,0.2569,0.6407,0.2384,0.7376,0.2471,0.7402000000000001,0.2389,0.37829999999999997,0.2661,0.10779999999999999,0.2519,0.1577,0.2662,0.2641,0.25270000000000004
3,25,0.2553,0.2402,0.2379,0.5355000000000001,0.23260000000000003,0.7842,0.25880000000000003,0.7335,0.2469,0.4391,0.2804,0.1089,0.25239999999999996,0.1798,0.2751,0.2643,0.2646
3,26,0.2675,0.1031,0.2427,0.6849999999999999,0.23920000000000002,0.9791,0.26780000000000004,1.0256,0.2633,0.49,0.2935,0.08080000000000001,0.2592,0.1436,0.2705,0.2192,0.2398
